conv1,layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer1.3.conv1,layer1.3.conv2,layer1.4.conv1,layer1.4.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer2.3.conv1,layer2.3.conv2,layer2.4.conv1,layer2.4.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,layer3.3.conv1,layer3.3.conv2,layer3.4.conv1,layer3.4.conv2,fc,epoch_num
0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.09375,0.15625,0.09375,0.09375,0.1875,0.0625,0.0,0.0,0.109375,0.078125,0.015625,0.03125,0.078125,0.078125,0.09375,0.125,0.078125,,16
0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.09375,0.15625,0.09375,0.09375,0.1875,0.0625,0.0,0.0,0.109375,0.078125,0.015625,0.03125,0.078125,0.078125,0.09375,0.125,0.078125,,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.09375,0.1875,0.03125,0.125,0.15625,0.15625,0.125,0.1875,0.09375,0.0,0.0,0.078125,0.078125,0.0625,0.0625,0.125,0.109375,0.140625,0.125,0.125,,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.09375,0.1875,0.03125,0.125,0.15625,0.15625,0.125,0.1875,0.09375,0.0,0.0,0.078125,0.078125,0.0625,0.0625,0.125,0.109375,0.140625,0.125,0.125,,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.09375,0.1875,0.03125,0.125,0.15625,0.15625,0.125,0.1875,0.09375,0.0,0.0,0.078125,0.078125,0.0625,0.0625,0.125,0.109375,0.140625,0.125,0.125,,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.09375,0.1875,0.03125,0.125,0.15625,0.15625,0.125,0.1875,0.09375,0.0,0.0,0.078125,0.078125,0.0625,0.0625,0.125,0.109375,0.140625,0.125,0.125,,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.09375,0.1875,0.03125,0.125,0.15625,0.15625,0.125,0.1875,0.09375,0.0,0.0,0.078125,0.078125,0.0625,0.0625,0.125,0.109375,0.140625,0.125,0.125,,22
0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.09375,0.1875,0.0625,0.21875,0.09375,0.1875,0.1875,0.25,0.125,0.0,0.0,0.078125,0.109375,0.03125,0.09375,0.125,0.15625,0.125,0.171875,0.09375,,23
0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.09375,0.1875,0.0625,0.21875,0.09375,0.1875,0.1875,0.25,0.125,0.0,0.0,0.078125,0.109375,0.03125,0.09375,0.125,0.15625,0.125,0.171875,0.09375,,24
0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.09375,0.1875,0.0625,0.21875,0.09375,0.1875,0.1875,0.25,0.125,0.0,0.0,0.078125,0.109375,0.03125,0.09375,0.125,0.15625,0.125,0.171875,0.09375,,25
